Team,Name,Playing Role,Batting Style,Bowling Style,Image
Afghanistan ,Rahmanullah Gurbaz,Wicketkeeper Batter,Right hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Hazratullah Zazai,Opening Batter,Left hand Bat,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Ibrahim Zadran,Opening Batter,Right hand Bat,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Mohammad Ishaq,Wicketkeeper Batter,Right hand Bat,,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Najibullah Zadran,Middle order Batter,Left hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Rashid Khan,Bowling Allrounder,Right hand Bat,Legbreak Googly,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Azmatullah Omarzai,Allrounder,Right hand Bat,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Gulbadin Naib,Batting Allrounder,Right hand Bat,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Karim Janat,Bowling Allrounder,Right hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Mohammad Nabi,Allrounder,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Nangeyalia Kharote,Allrounder,Left hand Bat,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Fareed Ahmad,Bowler,Left hand Bat,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Fazalhaq Farooqi,Bowler,Right hand Bat,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Naveen-ul-Haq,Bowler,Right hand Bat,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Noor Ahmad,Bowler,Right hand Bat,Left arm Wrist spin,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Afghanistan ,Mujeeb Ur Rahman,Bowler,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Tim David,Middle order Batter,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Travis Head,Top order Batter,Left hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Josh Inglis,Wicketkeeper Batter,Right hand Bat,,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Matthew Wade,Wicketkeeper Batter,Left hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,David Warner,Opening Batter,Left hand Bat,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Mitchell Marsh,Allrounder,Right hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Cameron Green,Batting Allrounder,Right hand Bat,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Glenn Maxwell,Batting Allrounder,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Marcus Stoinis,Batting Allrounder,Right hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Ashton Agar,Bowler,Left hand Bat,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Pat Cummins,Bowler,Right hand Bat,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Nathan Ellis,Bowler,Right hand Bat,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Josh Hazlewood,Bowler,Left hand Bat,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Mitchell Starc,Bowler,Left hand Bat,Left arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Australia ,Adam Zampa,Bowler,Right hand Bat,Legbreak Googly,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Najmul Hossain Shanto,Top order Batter,Left hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Jaker Ali,Batter,Right hand Bat,,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Litton Das,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Tanzid Hasan,Opening Batter,Left hand Bat,,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Towhid Hridoy,Top order Batter,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Mahedi Hasan,Allrounder,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Mahmudullah,Allrounder,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Shakib Al Hasan,Allrounder,Left hand Bat,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Soumya Sarkar,Batting Allrounder,Left hand Bat,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Taskin Ahmed,Bowler,Left hand Bat,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Mustafizur Rahman,Bowler,Left hand Bat,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Rishad Hossain,Bowler,Right hand Bat,Legbreak Googly,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Shoriful Islam,Bowler,Left hand Bat,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Tanvir Islam,Bowler,Left hand Bat,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bangladesh ,Tanzim Hasan Sakib,Bowler,Right hand Bat,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Navneet Dhaliwal,Middle order Batter,Right hand Bat,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Aaron Johnson,Batter,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Shreyas Movva,Wicketkeeper Batter,Right hand Bat,,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Ravinderpal Singh,Batter,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Saad Bin Zafar,Allrounder,Left hand Bat,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Dilpreet Bajwa,Allrounder,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Junaid Siddiqui,Allrounder,Right hand Bat,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Nicholas Kirton,Batting Allrounder,Left hand Bat,,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Pargat Singh,Allrounder,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Rayyan Pathan,Batting Allrounder,Right hand Bat,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Harsh Thaker,Allrounder,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Nikhil Dutta,Bowler,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Jeremy Gordon,Bowler,Right hand Bat,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Dilon Heyliger,Bowler,Right hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Rishiv Joshi,Bowler,Right hand Bat,Left arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Canada ,Kaleem Sana,Bowler,Right hand Bat,Left arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Jos Buttler,Wicketkeeper Batter,Right hand Bat,,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Jonny Bairstow,Wicketkeeper Batter,Right hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Harry Brook,Batter,Right hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Ben Duckett,Top order Batter,Left hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Phil Salt,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Moeen Ali,Batting Allrounder,Left hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Sam Curran,Allrounder,Left hand Bat,Left arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Will Jacks,Batting Allrounder,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Liam Livingstone,Batting Allrounder,Right hand Bat,"Right arm Offbreak, Legbreak",https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Jofra Archer,Bowler,Right hand Bat,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Tom Hartley,Bowler,Left hand Bat,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Chris Jordan,Bowler,Right hand Bat,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Adil Rashid,Bowler,Right hand Bat,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Reece Topley,Bowler,Right hand Bat,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
England ,Mark Wood,Bowler,Right hand Bat,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
India ,Rohit Sharma,Top order Batter,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
India ,Yashasvi Jaiswal,Opening Batter,Left hand Bat,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
India ,Virat Kohli,Top order Batter,Right hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
India ,Rishabh Pant,Wicketkeeper Batter,Left hand Bat,,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
